Series,x_vector,y_vector
S1,-1.16508348,1.110152376
S1,-1.054748619,2.766566581
S1,-1.711307656,3.431613788
S1,-1.980450588,4.832237897
S1,0.5136052837,2.020010047
S1,1.038934956,1.206422901
S1,2.235774104,5.264652812
S1,2.173455551,5.803947311
S1,1.609233958,2.599002783
S1,2.186661662,5.165709469
S1,0.5918611667,-0.1826732076
S1,2.031452657,3.30425221
S1,1.708118858,2.871015072
S1,-1.399590298,1.396043367
S1,-2.198706323,5.621200493
S1,-2.502662562,5.615753154
S1,-0.3883111686,-0.6292469224
S1,-0.4478853777,-0.7009238826
S1,-1.909320056,4.77404744
S1,-2.100725104,4.029219163
S1,-2.896712618,7.797663406
S1,-4.325894099,18.58833386
S1,-4.777914326,22.34577303
S1,-6.395183124,42.56941259
S1,-3.39150105,12.18827667
S1,-2.943679262,7.937593984
S1,-2.171425682,5.017180538
S1,-3.2142869,10.58929648
S1,-1.757905247,4.215206483
S1,-1.147881512,1.007525512
S1,-2.029113936,4.941895253
S1,-2.035396102,5.317730196
S1,-2.333257805,7.420379924
S1,-0.9298935521,0.8286002216
S1,-1.047047974,1.167477727
S1,0.09053426141,1.241742675
S1,0.8158394936,0.9513774405
S1,0.475871925,0.4422556927
S1,0.4021597148,1.537052869
S1,-0.4803585765,1.117325449
S1,-0.9543387466,0.9282772341
S1,-2.302540026,3.667831332
S1,-2.611790234,6.721076765
S1,-2.846088053,9.229857255
S1,-2.921864349,8.026107681
S1,-0.2764193432,-2.231647266
S1,-0.1174244862,0.2884959866
S1,-1.589356705,1.903879875
S1,-0.5806453831,0.2256402349
S1,-0.8396337692,0.5908802387
S1,0.6117203754,-0.8111284344
S1,0.6349023578,0.2275166093
S1,2.209925018,4.362504821
S1,2.082201644,4.114468537
S1,1.435452511,1.507646041
S1,3.342372545,10.73294418
S1,1.809141273,2.705371625
S1,2.143580571,6.412660536
S1,1.060092521,1.721572779
S1,2.200059578,5.143985056
S1,2.53101623,8.124002932
S1,1.975367859,3.009411755
S1,1.4989352,2.820341486
S1,2.312688498,4.336171731
S1,1.132047961,0.7995071895
S1,0.2981743661,0.6003137037
S1,0.6911282819,-0.08222873256
S1,1.406843541,1.496565142
S1,-0.3785018084,1.61618968
S1,-0.1673220311,1.622219123
S1,-1.320689167,1.013350088
S1,-1.896483374,3.558359962
S1,-0.4892200175,1.231098583
S1,0.5367810778,-1.578149135
S1,0.3164141839,-0.3372152114
S1,-0.6325833452,1.336242171
S1,-0.2906247329,0.4676469126
S1,1.307228217,1.407110934
S1,2.148015981,3.609719276
S1,2.441758013,6.771978638
S1,2.395367554,7.197442554
S1,3.335088345,8.931588465
S1,4.085271965,16.28410784
S1,4.690281443,23.93941153
S1,3.744145092,14.50358773
S1,0.8673526588,0.5502033714
S1,0.2569380005,-1.103611448
S1,1.543289933,2.011897722
S1,1.275833892,2.387545956
S1,0.5739938635,0.5272580454
S1,-1.490089711,1.765631087
S1,-2.019957581,3.159631847
S1,-2.727121591,7.32948493
S1,-3.19754469,9.020629577
S1,-2.950758635,11.38184738
S1,-3.037517733,10.79897906
S1,-1.62311495,3.312921337
S1,-3.105757295,9.762140975
S1,-4.443940953,19.28229807
S1,-5.318878727,30.1367042
S1,-5.082041538,24.53575117
S1,-2.654254542,8.005802733
S1,-1.151754766,1.559079932
S1,-1.472547689,3.030946633
S1,-2.177665181,6.153653631
S1,-0.804696593,0.6345217585
S1,-0.4564486463,0.4106093806
S1,-0.8521279035,-2.059892766
S1,-0.8471644379,0.5596872188
S1,0.3824923504,0.9779383932
S1,0.257710039,2.254945978
S1,0.4472661894,-0.9460465196
S1,1.205311354,1.684025563
S1,0.6029034069,0.3861408755
S1,-1.45377391,3.49258817
S1,-1.402757208,1.72147503
S1,-0.1103367417,0.007048851199
S1,-0.2785015365,-0.885439721
S1,0.399436732,0.140176225
S1,-0.1683733025,-1.13031837
S1,-1.077396643,1.003709128
S1,-0.5864210576,-0.2568313484
S1,-0.9420685663,0.7234914331
S1,-0.05258983422,-0.6810315804
S1,0.9030559625,2.478488677
S1,0.4472713487,-0.3716183542
S1,0.525716058,0.2409186825
S1,1.420185948,1.619865817
S1,2.808771866,8.603934121
S1,2.271490738,6.427124769
S1,1.674832373,2.448277145
S1,1.274871622,0.5999746948
S1,2.421131988,6.27159668
S1,1.547094741,2.923256481
S1,0.8204727603,0.3100480883
S1,0.5252046691,0.9575893379
S1,-0.7974251222,0.8392975802
S1,-1.182210957,0.1130697123
S1,-1.522256138,2.927860233
S1,-1.386268422,0.7254516919
S1,-0.6362771362,1.727455811
S1,0.9649584814,1.30544044
S1,1.728019579,4.623393209
S1,0.3703506749,0.0415658035
S1,1.856509026,1.886593664
S1,2.570670675,5.217703577
S1,2.506714122,7.569446544
S1,3.725432127,13.27177218
S1,4.081058292,15.67510489
S1,3.722940337,14.16271265
S1,2.954461668,8.471946742
S1,3.693327218,12.57247329
S1,1.297503889,-0.8478718162
S1,1.077740414,0.7105971709
S1,-0.1032600566,0.3650738698
S1,-2.11821409,4.137852538
S1,-1.789676382,3.056862628
S1,-1.828095685,2.889349631
S1,-3.760736039,14.37803976
S1,-3.852378117,15.54207492
S1,-3.239128551,11.81855208
S1,-2.434287186,4.352622955
S1,-2.018191444,4.291379677
S1,-1.19814014,1.182204428
S1,-0.9457284334,1.947306282
S1,-0.5310023758,2.505007984
S1,-0.6178511787,0.3738858162
S1,-1.623552235,3.064423542
S1,-1.28978346,2.719879856
