series,time,gamma_vect,freq,x_vector,y_vector
1,1,0.6141,12,-12.1285368913352,3.71183719534007
1,2,0.6141,12,-5.14212680275659,8.24033435898938
1,3,0.6141,12,-2.10458032625549,6.93206388686218
1,4,0.6141,12,-0.0433578891143274,4.32191897400478
1,5,0.6141,12,0.294368113214065,2.53285913512666
1,6,0.6141,12,-0.63828470824921,1.78795816310349
1,7,0.6141,12,-2.56469854338525,2.10396592512772
1,8,0.6141,12,-1.01809599588832,2.84470934623932
1,9,0.6141,12,-6.57534106106009,3.11579483645752
1,10,0.6141,12,-3.08977219200532,5.3273639870787
1,11,0.6141,12,-0.302892563441817,4.02996108011
1,12,0.6141,12,-4.81514418453397,3.206767576517
1,13,0.6141,12,-0.593368216088552,4.02095728010772
1,14,0.6141,12,0.458704748183179,2.46258577529344
1,15,0.6141,12,-4.23944983984877,2.10220703680504
1,16,0.6141,12,-1.42984732771506,2.83551976658856
1,17,0.6141,12,-0.742904044641884,2.66086584886078
1,18,0.6141,12,-15.2140116217618,3.42248566644838
1,19,0.6141,12,-3.25352588393733,8.97907681360183
1,20,0.6141,12,-0.203638747242178,5.90814881206329
1,21,0.6141,12,0.532339583975681,3.18731656543175
1,22,0.6141,12,-1.27254912887113,2.08520245724202
1,23,0.6141,12,0.150817248925626,2.00090786497245
1,24,0.6141,12,-14.8910684733624,2.70285595947315
1,25,0.6141,12,-3.29248537534965,8.56826051721882
1,26,0.6141,12,-1.0000855007661,5.41449897387002
1,27,0.6141,12,-0.799286291951875,3.68039058159302
1,28,0.6141,12,-0.472738092121033,1.99867656932677
1,29,0.6141,12,-0.148710160019476,1.75850341806531
1,30,0.6141,12,-0.272699984457854,1.54554455787903
1,31,0.6141,12,-5.60548244774444,0.171637587512779
1,32,0.6141,12,-4.05184407816672,3.67249189077875
1,33,0.6141,12,-0.845250644285712,3.5984583481847
1,34,0.6141,12,0.179120092796872,2.53647738811386
1,35,0.6141,12,-12.1053953895314,2.79132753458089
1,36,0.6141,12,-7.358313095794,8.03096422730892
1,37,0.6141,12,-8.06460698132574,8.41082100033447
1,38,0.6141,12,-1.8202212729774,7.63237058710997
1,39,0.6141,12,-4.70884396343736,5.51974990356871
1,40,0.6141,12,-6.02072759346498,5.92757971164863
1,41,0.6141,12,-5.53677120080761,6.64781814786891
1,42,0.6141,12,-1.03979184710223,5.70847697962387
1,43,0.6141,12,-13.9839903333888,4.89494346228074
1,44,0.6141,12,-4.40275454140007,9.47458165889754
1,45,0.6141,12,-0.652155807207793,6.85007243172029
1,46,0.6141,12,-1.63359085599758,4.32381637601094
1,47,0.6141,12,-13.7808309044926,4.51284231439577
1,48,0.6141,12,-3.37626826982086,9.01145572106733
1,49,0.6141,12,-3.79186533609953,6.74490629123482
1,50,0.6141,12,-1.16085971033532,4.79764456928716
2,1,1.9839,12,-5.91684580710115,6.31393600343564
2,2,1.9839,12,-4.65905630439406,8.21847138583563
2,3,1.9839,12,0.644237092973415,6.62107841047363
2,4,1.9839,12,-30.3384934328138,7.75517782041567
2,5,1.9839,12,-52.6113146828211,23.3437474916226
2,6,1.9839,12,-80.2915060839993,41.7864946016215
2,7,1.9839,12,-21.2057522761234,58.391170351723
2,8,1.9839,12,-3.36274228772414,37.7563129850822
2,9,1.9839,12,-4.5812745768341,21.5917309824301
2,10,1.9839,12,0.303305049929076,12.5162792097435
2,11,1.9839,12,-0.656231744834216,5.4492943301793
2,12,1.9839,12,-9.40646359373133,6.16017056104305
2,13,1.9839,12,-1.0812951199558,7.55769072450819
2,14,1.9839,12,-21.004061929372,8.32260448417641
2,15,1.9839,12,-9.87060525593511,16.2919808692316
2,16,1.9839,12,-2.52103857979248,14.0319683162323
2,17,1.9839,12,1.05829089701359,8.22359333942772
2,18,1.9839,12,1.98458431664143,3.92620720953174
2,19,1.9839,12,-6.06295982576583,3.94354580879645
2,20,1.9839,12,-0.259148198897556,6.19556967565755
2,21,1.9839,12,-0.0590490610684336,4.9516551710634
2,22,1.9839,12,-7.78836647557482,5.49677925035913
2,23,1.9839,12,-6.29166464792702,8.87479512880202
2,24,1.9839,12,-1.30377585938546,8.89075561834476
2,25,1.9839,12,-0.111952708947519,4.74450837775164
2,26,1.9839,12,-1.24375810353357,4.48568741274286
2,27,1.9839,12,-1.48673038232063,4.87936540117422
2,28,1.9839,12,-2.553748846131,5.35780877321852
2,29,1.9839,12,-4.49727369927177,2.92895735560377
2,30,1.9839,12,0.644918082621423,4.73433770580347
2,31,1.9839,12,0.582886706221548,3.75334978864284
2,32,1.9839,12,1.6059175170825,2.96003688702095
2,33,1.9839,12,-4.67051128765136,3.4855747113643
2,34,1.9839,12,-4.85057804964796,6.42026068841963
2,35,1.9839,12,-0.177458402949233,5.49057711913015
2,36,1.9839,12,-4.41838382065902,1.82347176865357
2,37,1.9839,12,0.584324890644008,3.4807037395308
2,38,1.9839,12,1.13861151355813,3.02551475527482
2,39,1.9839,12,-16.4018424568973,4.90298602896634
2,40,1.9839,12,-4.17851104550256,11.8034659668591
2,41,1.9839,12,0.934630252961065,8.29558128482404
2,42,1.9839,12,0.948166067802061,5.17147305227169
2,43,1.9839,12,-3.22746787117399,4.57855277268009
2,44,1.9839,12,-0.718465073258663,5.55233766958131
2,45,1.9839,12,-13.3439814901435,6.61756007303419
2,46,1.9839,12,-14.3570645564429,12.7139969750535
2,47,1.9839,12,-2.76661193300895,14.2035721197502
2,48,1.9839,12,-6.09363820176818,6.88427980619204
2,49,1.9839,12,0.0375051470340626,7.41984451269827
2,50,1.9839,12,-4.05518090038074,6.11986541742239
3,1,0.1027,12,0.000719143615305996,0.347988514620758
3,2,0.1027,12,-0.114738292577245,0.136344781356093
3,3,0.1027,12,-0.30543974605879,0.265570745611895
3,4,0.1027,12,-2.55279820788403,0.571375898769368
3,5,0.1027,12,-0.608861545428777,1.44506986603164
3,6,0.1027,12,-1.64246834805879,1.1984192326509
3,7,0.1027,12,-0.447966368926627,1.41813962778585
3,8,0.1027,12,-0.0150765336167731,0.897561413778295
3,9,0.1027,12,-0.657684649499075,0.610562029890401
3,10,0.1027,12,-1.0027530549977,0.790203696289805
3,11,0.1027,12,-1.39647062736556,0.697064272134442
3,12,0.1027,12,-0.532673789381552,0.928644982682188
3,13,0.1027,12,-0.102423739476838,0.766555304457542
3,14,0.1027,12,-2.66449508809683,0.716422501312979
3,15,0.1027,12,-0.695820297514241,1.66489204981457
3,16,0.1027,12,-0.381589511841706,1.04801364357283
3,17,0.1027,12,-0.111286124037966,0.76416341217315
3,18,0.1027,12,-0.039938554516187,0.508368156282805
3,19,0.1027,12,-0.410574303603554,0.417265187675541
3,20,0.1027,12,-0.000923652196325453,0.4271055572758
